host_response_rate,host_acceptance_rate,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,rating
100,75,49.27235,-123.16137,2,1.0,1.0,129.0,30,48,96.0
100,100,49.27648,-123.04172,5,2.0,3.0,106.0,2,87,100.0
90,71,49.26448,-123.12735,4,2.0,3.0,170.0,2,83,97.0
100,100,49.28252,-123.12331,2,1.0,1.0,105.0,30,24,100.0
100,100,49.24887,-123.18715,6,3.0,4.0,400.0,3,73,98.0
100,90,49.24926,-123.06812,2,1.0,1.0,125.0,1,7,97.0
100,83,49.28528,-123.11284,3,1.0,1.0,139.0,30,3,100.0
90,71,49.26274,-123.12739,2,1.0,1.0,60.0,80,44,99.0
100,71,49.25859,-123.07775,6,3.0,4.0,275.0,5,25,99.0
100,65,49.28043,-123.12521,2,1.0,1.0,119.0,30,42,99.0
100,100,49.26727,-123.14131,2,1.0,1.0,106.0,2,147,99.0
100,94,49.25394,-123.10394,4,1.0,2.0,129.0,1,252,97.0
